[11:38:15] [INFO] received Windows console close event; shutting log-core down
[11:43:24] [INFO] received Windows console close event; shutting log-core down
[12:03:21] [INFO] received Windows console close event; shutting log-core down
[12:11:44] [INFO] received Windows console close event; shutting log-core down
[12:27:42] [INFO] received Windows console close event; shutting log-core down
[12:46:57] [INFO] received Windows console close event; shutting log-core down
[12:52:29] [INFO] received Windows console close event; shutting log-core down
[12:56:43] [INFO] received Windows console close event; shutting log-core down
[13:01:27] [INFO] received Windows console close event; shutting log-core down
[13:08:41] [INFO] received Windows console close event; shutting log-core down
[13:19:03] [INFO] received Windows console close event; shutting log-core down
[13:37:54] [INFO] received Windows console close event; shutting log-core down
[13:41:46] [INFO] received Windows console close event; shutting log-core down
[14:21:37] [INFO] received Windows console close event; shutting log-core down
[14:21:38] [INFO] received Windows console close event; shutting log-core down
[14:33:01] [INFO] received Windows console close event; shutting log-core down
[15:20:41] [INFO] received Windows console close event; shutting log-core down
[15:26:48] [INFO] received Windows console close event; shutting log-core down
[19:04:02] [INFO] received Windows console close event; shutting log-core down
[19:22:59] [INFO] received Windows console close event; shutting log-core down
[19:24:36] [INFO] received Windows console close event; shutting log-core down
[19:27:09] [INFO] received Windows console close event; shutting log-core down
[19:31:17] [INFO] received Windows console close event; shutting log-core down
[19:33:46] [INFO] received Windows console close event; shutting log-core down
[15:56:09] [INFO] received Windows console close event; shutting log-core down
[16:06:50] [INFO] received Windows console close event; shutting log-core down
[16:06:54] [INFO] received Windows console close event; shutting log-core down
[16:17:12] [INFO] received Windows console close event; shutting log-core down
[16:18:22] [INFO] received Windows console close event; shutting log-core down
[16:51:25] [INFO] received Windows console close event; shutting log-core down
[16:59:43] [INFO] received Windows console close event; shutting log-core down
[17:04:29] [INFO] received Windows console close event; shutting log-core down
[17:35:12] [INFO] received Windows console close event; shutting log-core down
[17:38:47] [INFO] received Windows console close event; shutting log-core down
[19:52:57] [INFO] received Windows console close event; shutting log-core down
[20:29:13] [INFO] received Windows console close event; shutting log-core down
[08:08:21] [INFO] received Windows console close event; shutting log-core down
[08:08:37] [INFO] received Windows console close event; shutting log-core down
[08:20:19] [INFO] received Windows console close event; shutting log-core down
[08:24:55] [INFO] received Windows console close event; shutting log-core down
